# Bảng ánh xạ SHA cũ → mới (viết lại lịch sử 21/8/2026)
#
# Vì sao viết lại: commit `1bf161b (init)` chứa harness/.openai_key = khoá OpenAI thật,
# và bốn gói zip nằm trong lịch sử, hai gói 105 MB > trần cứng 100 MB của GitHub
# (push sẽ bị từ chối, không phải cảnh báo).
#
# Số commit (97), thông điệp và mốc ngày GIỮ NGUYÊN — chỉ SHA đổi.
# Cột 1 = SHA cũ, cột 2 = SHA mới. Sinh bởi git-filter-repo.
#
old                                      new
04ba511215975da1c7be69ca73cc3cb31b91a848 ac7266f1a2860bdb5f8180773983a99aaa7fa634
07cb5dcb4c63c6e50537429ddc13a5ca4e62c848 1893f1c8c2df1241a452e5ed0418bef68cb12005
097bf899f1196f9c2a31e26c41164ce4188a6f78 69c8a44e61a4589c32fb46d26c2e52e893ad5c65
0db9101c9f99e60513d86052b1f7679d0e4757fa be76302a2f9dc35a63ee2deabbf02f4d9a2afe0c
10ae90ee0319895273728e161a1a31c127ff0c40 ddf43258c72fc6fc89dcc020e7b81ae06fc55e44
11fec7cb22103da30f8938d4d9ee4f91a9542dc6 2bcd05c43811e0fd84563fb19c52708fec91b0ab
124acf2d7348becc372ef3b8f4664cfd23f706f2 4d122d4626bdeac986c004242107e9d5a0ed0a98
145b1169b4d639e4bfe6f46499f5039fa86e9cc8 0f56bce920b86a43c599508a5254bf6db6656b22
14f88bca32534ff6a48223649a4debff9655eff5 4d00e0a402dbd84eb0bd2884b246f858d34e7a68
1755bc4c0f77d87c9f981aa02ef0444343e97151 9f68f2684bbf89fd50fc2fe7d7eb172b26e4f737
1a0b5d6154afa87a800fc88e31765feaa283affc 3125f1d4ad4e0657d45fe3f7b3fb8e2acaa1e918
1bf161b8df9c37cc868712f96b10d34a95ef46ce ad4b905078d202c6a56b8f58e41c3a752300386c
1fe5aaf74bf1441d84dceb247bdedcf000ce96c6 053f50576947432639582416545cf97b3f3b0ceb
20b04e78aeae4fee0716128027d3ef34079d110d 093a078078539fe7f0f0e90ae3a5f23ce526225f
25a3b122c5a15136e91a8ca65590f798deef1c6b e15c5ee43cb226c607a916c0aad322873a40b3db
26bfa1701ba51e102450f8159c7fb15450a394f5 7feec693440479e6c2ba378f042b5afaeb1e29d5
27da8b6d79449c5c92db02316286cbd4777fdb7d bb7d036446759f5e74c313d6bf662fa05710e8d5
286eb9c32169cf266b498d5e9948ccea9877986c 9000ff6468ba36214951264ccf75214eb2182c0c
2a814d5bff760087f85f2c47b2a55dbfe12ccf86 6cbf32e92e289c1d73586887e2849da23d293f9f
2ab8847df8283ac7b95f1689b0fd7726c0dafc88 b2af3d4417cfbb1e1280562559ef7000ac04da59
2c84ce8fa74ff42b09d667b2aeb85d16f98495e1 76c6adeb33ef0abc9c2b82b5959c3ab7373f4720
2d758a731ff82bb5d6ca092ae835009cb029a832 444b2a45f0aef78e11acd92d1ab97798b6f84b5d
3239075e5e9ddc3c42b646e1b69dc72b8bddcad2 9878c49252ea571c97a8731322f5e871cdfcb781
33a955bd7c37d3b433952a3099ae4cebbcac30c6 ef1bf0addfa372684884cccf5f5d31a76469da78
361adb5e6582d2cead61e717878ac6ce1561afa7 564a5f85a770587b302434bb8ea6d37cd9becc05
36d72d91439ab5b297a6e65b291d3d0d61121b79 f839031b20a582f81abfcf94bc7ea38b10d1f7fb
3776212133d15cecf33dd6d456dcdf7ce3e64a2c 50ca0ecd63f7dcee807776efa991077946cc7138
37a8ad3791bbe4786a2bde508c6cb8c28bd3d0a2 6420c09d35f09b353147b8e326e092bae673cd32
37f49d39afc45df4a216d0c1ea1227f6e1f81748 4ab1df7c5516c17b74eddbb7708d50a645fbb98a
38e3793f5f2d3b433acb9b20b0849dea82587665 9ec22079c2ffee532e50a684e9fa5be650e56f33
3b5d98df11fb5149592827020c1b606284e14324 258c65aa2ad59a104867d07f70c2bab2f479721c
3ba812b55efa0afa70f83df41f7a39c88a3479b2 f570509c385e8dd49f10f9d93681b262233d04d4
44aa0c42e1e4f8ee033f5739d0cded72a20fb9f9 29577568bfe2c9058b730d6d26ec1497a7b6c7e3
457b4e4d6981dad03966c81eacfa7b043c83f8bc 986e40db1d4901451353d52ed0f459ef6ce5bd47
471d76dfe843678fc5fa4a8e9a13cbd82c42af11 84178a84fb03951c589836ef9e0d31dbbc519ea5
4c0e8880176f223f1540c75a6421864f377906a3 483a2209a449a1204b54a272165106e0a157ff5b
51ddb35ba86ae90a710af7ff0b8012fc4938a568 b93e85c6a74abfd628a35b6ba5fe0871e30b72b9
